ssl,setting,method,true,pred,rate
hubert,ttsonly,tiebreak_distance,chatterbox,chatterbox,0.7560321715817694
hubert,ttsonly,tiebreak_distance,chatterbox,indextts,0.0777479892761394
hubert,ttsonly,tiebreak_distance,indextts,f5tts,0.013404825737265416
hubert,ttsonly,tiebreak_distance,indextts,xtts,0.024128686327077747
hubert,ttsonly,tiebreak_distance,indextts,cosyvoice3,0.09115281501340483
hubert,ttsonly,tiebreak_distance,indextts,chatterbox,0.1903485254691689
hubert,ttsonly,tiebreak_distance,indextts,indextts,0.6809651474530831
hubert,ttsonly,inverse_distance,f5tts,f5tts,0.8954423592493298
hubert,ttsonly,inverse_distance,f5tts,xtts,0.032171581769437
hubert,ttsonly,inverse_distance,f5tts,cosyvoice3,0.02680965147453083
hubert,ttsonly,inverse_distance,f5tts,chatterbox,0.03485254691689008
hubert,ttsonly,inverse_distance,f5tts,indextts,0.010723860589812333
hubert,ttsonly,inverse_distance,xtts,f5tts,0.0
hubert,ttsonly,inverse_distance,xtts,xtts,0.9597855227882037
hubert,ttsonly,inverse_distance,xtts,cosyvoice3,0.00804289544235925
hubert,ttsonly,inverse_distance,xtts,chatterbox,0.021447721179624665
hubert,ttsonly,inverse_distance,xtts,indextts,0.010723860589812333
hubert,ttsonly,inverse_distance,cosyvoice3,f5tts,0.010723860589812333
hubert,ttsonly,inverse_distance,cosyvoice3,xtts,0.03753351206434316
hubert,ttsonly,inverse_distance,cosyvoice3,cosyvoice3,0.5683646112600537
hubert,ttsonly,inverse_distance,cosyvoice3,chatterbox,0.3163538873994638
hubert,ttsonly,inverse_distance,cosyvoice3,indextts,0.06702412868632708
hubert,ttsonly,inverse_distance,chatterbox,f5tts,0.00804289544235925
hubert,ttsonly,inverse_distance,chatterbox,xtts,0.01876675603217158
hubert,ttsonly,inverse_distance,chatterbox,cosyvoice3,0.13941018766756033
hubert,ttsonly,inverse_distance,chatterbox,chatterbox,0.7560321715817694
hubert,ttsonly,inverse_distance,chatterbox,indextts,0.0777479892761394
hubert,ttsonly,inverse_distance,indextts,f5tts,0.013404825737265416
hubert,ttsonly,inverse_distance,indextts,xtts,0.024128686327077747
hubert,ttsonly,inverse_distance,indextts,cosyvoice3,0.09115281501340483
hubert,ttsonly,inverse_distance,indextts,chatterbox,0.1903485254691689
hubert,ttsonly,inverse_distance,indextts,indextts,0.6809651474530831
xlsr,6way,uniform,real,real,0.39946380697050937
xlsr,6way,uniform,real,f5tts,0.0160857908847185
xlsr,6way,uniform,real,xtts,0.05630026809651475
xlsr,6way,uniform,real,cosyvoice3,0.21983914209115282
xlsr,6way,uniform,real,chatterbox,0.1876675603217158
xlsr,6way,uniform,real,indextts,0.12064343163538874
xlsr,6way,uniform,f5tts,real,0.0
xlsr,6way,uniform,f5tts,f5tts,0.9410187667560321
xlsr,6way,uniform,f5tts,xtts,0.02680965147453083
xlsr,6way,uniform,f5tts,cosyvoice3,0.013404825737265416
xlsr,6way,uniform,f5tts,chatterbox,0.01876675603217158
xlsr,6way,uniform,f5tts,indextts,0.0
xlsr,6way,uniform,xtts,real,0.0
xlsr,6way,uniform,xtts,f5tts,0.002680965147453083
xlsr,6way,uniform,xtts,xtts,0.9544235924932976
xlsr,6way,uniform,xtts,cosyvoice3,0.0160857908847185
xlsr,6way,uniform,xtts,chatterbox,0.00804289544235925
xlsr,6way,uniform,xtts,indextts,0.01876675603217158
xlsr,6way,uniform,cosyvoice3,real,0.00804289544235925
xlsr,6way,uniform,cosyvoice3,f5tts,0.0
xlsr,6way,uniform,cosyvoice3,xtts,0.029490616621983913
