ssl,layer,protocol,k,weighting,macro_f1,same_utt_frac_topk,tie_rate
wavlm,19,loo,3,uniform,0.05922808059734245,0.953172475424486,0.960857908847185
wavlm,19,loo,3,distance,0.04997525223998235,0.953172475424486,0.0
wavlm,19,loo,5,uniform,0.2461851154589833,0.7124932975871313,0.5399463806970509
wavlm,19,loo,5,distance,0.11515812313518303,0.7124932975871313,0.0
wavlm,19,loo,7,uniform,0.4796537718045421,0.5178092684795097,0.5168900804289545
wavlm,19,loo,7,distance,0.2616605742039498,0.5178092684795097,0.0
wavlm,19,loo,11,uniform,0.6368599035062188,0.33453570558128204,0.23699731903485255
wavlm,19,loo,11,distance,0.36399573175532335,0.33453570558128204,0.0
wavlm,19,leave_utt,1,uniform,0.7588517933759116,0.0,0.0
wavlm,19,leave_utt,1,distance,0.7588517933759116,0.0,0.0
wavlm,19,leave_utt,3,uniform,0.7411545593952071,0.0,0.24986595174262735
wavlm,19,leave_utt,3,distance,0.7811624297251148,0.0,0.0
wavlm,19,leave_utt,5,uniform,0.7810835461319994,0.0,0.2032171581769437
wavlm,19,leave_utt,5,distance,0.8118256889069005,0.0,0.0
wavlm,19,leave_utt,7,uniform,0.7880531512064246,0.0,0.15656836461126006
wavlm,19,leave_utt,7,distance,0.8197708269727425,0.0,0.0
wavlm,19,leave_utt,11,uniform,0.8083167704632148,0.0,0.12922252010723861
wavlm,19,leave_utt,11,distance,0.8261591077457169,0.0,0.0
wavlm,19,leave_spk,1,uniform,0.6257764220182989,0.0,0.0
wavlm,19,leave_spk,1,distance,0.6257764220182989,0.0,0.0
wavlm,19,leave_spk,3,uniform,0.6617816978932931,0.0,0.271313672922252
wavlm,19,leave_spk,3,distance,0.6639787881327514,0.0,0.0
wavlm,19,leave_spk,5,uniform,0.7142281977619969,0.0,0.21715817694369974
wavlm,19,leave_spk,5,distance,0.7185241094181418,0.0,0.0
wavlm,19,leave_spk,7,uniform,0.7271643044094944,0.0,0.1512064343163539
wavlm,19,leave_spk,7,distance,0.7284678873337456,0.0,0.0
wavlm,19,leave_spk,11,uniform,0.7367582412249489,0.0,0.1126005361930295
wavlm,19,leave_spk,11,distance,0.7407905295901023,0.0,0.0
wavlm,21,loo,1,uniform,0.05846975449295251,0.960857908847185,0.0
wavlm,21,loo,1,distance,0.05846975449295251,0.960857908847185,0.0
wavlm,21,loo,3,uniform,0.08401456451209788,0.9326184092940125,0.9479892761394102
wavlm,21,loo,3,distance,0.07453778950974405,0.9326184092940125,0.0
wavlm,21,loo,5,uniform,0.36952313937852116,0.6890080428954424,0.5040214477211796
wavlm,21,loo,5,distance,0.16567934543982737,0.6890080428954424,0.0
wavlm,21,loo,7,uniform,0.6066942488607592,0.5049406357717349,0.42091152815013405
wavlm,21,loo,7,distance,0.37039579717458504,0.5049406357717349,0.0
wavlm,21,loo,11,uniform,0.7221653083079941,0.3294662442115526,0.21018766756032173
wavlm,21,loo,11,distance,0.484128195718888,0.3294662442115526,0.0
wavlm,21,leave_utt,1,uniform,0.8441858416019057,0.0,0.0
wavlm,21,leave_utt,1,distance,0.8441858416019057,0.0,0.0
wavlm,21,leave_utt,3,uniform,0.8371023905919612,0.0,0.14959785522788205
wavlm,21,leave_utt,3,distance,0.8662896940763416,0.0,0.0
wavlm,21,leave_utt,5,uniform,0.845857552851502,0.0,0.14745308310991956
wavlm,21,leave_utt,5,distance,0.8806588208716285,0.0,0.0
wavlm,21,leave_utt,7,uniform,0.862444196449383,0.0,0.11045576407506702
wavlm,21,leave_utt,7,distance,0.8891162326643489,0.0,0.0
wavlm,21,leave_utt,11,uniform,0.8712036945945852,0.0,0.09812332439678284
wavlm,21,leave_utt,11,distance,0.8928139433385806,0.0,0.0
wavlm,21,leave_spk,1,uniform,0.6428833591149793,0.0,0.0
wavlm,21,leave_spk,1,distance,0.6428833591149793,0.0,0.0
wavlm,21,leave_spk,3,uniform,0.6899357545151361,0.0,0.20482573726541556
